Game ID,Round,Computer Choice,Player Choice,Round Winner
589051,1,paper,scissors,Player
589051,2,paper,scissors,Player
589051,3,paper,rock,Computer
589051,4,scissors,rock,Player
589051,5,lizard,lizard,Draw
589051,6,rock,scissors,Computer
589051,7,paper,rock,Computer
589051,8,scissors,scissors,Draw
589051,9,spock,scissors,Computer
589051,10,rock,scissors,Computer
743001,1,paper,spock,Computer
743001,2,scissors,scissors,Draw
743001,3,spock,spock,Draw
743001,4,lizard,lizard,Draw
743001,5,paper,paper,Draw
743001,6,spock,rock,Computer
743001,7,rock,lizard,Computer
743001,8,rock,rock,Draw
743001,9,scissors,spock,Player
743001,10,spock,rock,Computer
868897,1,rock,spock,Player
868897,2,scissors,scissors,Draw
868897,3,spock,rock,Computer
868897,4,spock,spock,Draw
868897,5,rock,paper,Player
868897,6,rock,spock,Player
400691,1,paper,paper,Draw
868897,7,lizard,rock,Player
400691,2,spock,paper,Player
868897,8,spock,scissors,Computer
400691,3,lizard,lizard,Draw
868897,9,spock,rock,Computer
400691,4,scissors,lizard,Computer
400691,5,spock,spock,Draw
400691,6,paper,spock,Computer
400691,7,lizard,scissors,Player
400691,8,lizard,paper,Computer
400691,9,paper,lizard,Player
198613,1,rock,paper,Player
747900,1,scissors,rock,Player
747900,2,lizard,spock,Computer
747900,3,paper,scissors,Player
869959,1,paper,lizard,Player
747900,4,paper,rock,Computer
869959,2,rock,lizard,Computer
747900,5,scissors,lizard,Computer
67180,1,scissors,lizard,Computer
869959,3,rock,scissors,Computer
747900,6,rock,paper,Player
67180,2,spock,lizard,Player
869959,4,lizard,scissors,Player
747900,7,scissors,rock,Player
67180,3,rock,lizard,Computer
869959,5,lizard,lizard,Draw
747900,8,paper,rock,Computer
67180,4,scissors,spock,Player
869959,6,paper,lizard,Player
747900,9,rock,scissors,Computer
67180,5,scissors,lizard,Computer
869959,7,spock,rock,Computer
747900,10,rock,rock,Draw
869959,8,lizard,paper,Computer
690935,1,paper,paper,Draw
411109,1,scissors,scissors,Draw
869959,9,rock,paper,Player
327905,1,lizard,paper,Computer
411109,2,lizard,spock,Computer
411109,3,spock,spock,Draw
411109,4,paper,lizard,Player
162988,1,spock,paper,Player
411109,5,paper,lizard,Player
162988,2,lizard,spock,Computer
411109,6,scissors,spock,Player
162988,3,lizard,spock,Computer
411109,7,spock,rock,Computer
162988,4,spock,scissors,Computer
832108,1,rock,lizard,Computer
411109,8,paper,spock,Computer
162988,5,spock,scissors,Computer
832108,2,scissors,paper,Computer
411109,9,paper,spock,Computer
162988,6,lizard,rock,Player
162988,7,lizard,scissors,Player
162988,8,rock,paper,Player
162988,9,rock,scissors,Computer
162988,10,scissors,rock,Player
336180,1,rock,scissors,Computer
336180,2,paper,scissors,Player
336180,3,rock,rock,Draw
336180,4,scissors,paper,Computer
336180,5,scissors,paper,Computer
336180,6,scissors,lizard,Computer
336180,7,spock,scissors,Computer
336180,8,rock,rock,Draw
336180,9,spock,paper,Player
336180,10,lizard,paper,Computer
951302,1,rock,paper,Player
951302,2,lizard,lizard,Draw
951302,3,rock,lizard,Computer
951302,4,paper,lizard,Player
951302,5,spock,spock,Draw
869959,10,paper,lizard,Player
951302,6,scissors,lizard,Computer
951302,7,spock,scissors,Computer
951302,8,scissors,spock,Player
951302,9,paper,paper,Draw
951302,10,spock,spock,Draw
411109,10,rock,lizard,Computer
415256,1,spock,scissors,Computer
415256,2,scissors,paper,Computer
415256,3,paper,spock,Computer
415256,4,lizard,rock,Player
415256,5,paper,spock,Computer
415256,6,lizard,rock,Player
415256,7,lizard,scissors,Player
415256,8,rock,scissors,Computer
415256,9,lizard,rock,Player
415256,10,paper,rock,Computer
209844,1,spock,scissors,Computer
180104,1,scissors,rock,Player
240594,1,spock,rock,Computer
240594,2,lizard,paper,Computer
240594,3,scissors,rock,Player
240594,4,lizard,rock,Player
240594,5,spock,paper,Player
240594,6,spock,rock,Computer
240594,7,scissors,rock,Player
240594,8,paper,paper,Draw
240594,9,lizard,rock,Player
240594,10,scissors,paper,Computer
752201,1,rock,scissors,Computer
532783,1,spock,spock,Draw
532783,2,paper,spock,Computer
766341,1,rock,rock,Draw
766341,2,spock,rock,Computer
609939,1,scissors,rock,Player
609939,2,lizard,rock,Player
413242,1,paper,lizard,Player
935637,1,paper,scissors,Player
448486,1,spock,paper,Player
448486,2,rock,lizard,Computer
448486,3,scissors,lizard,Computer
448486,4,lizard,rock,Player
448486,5,lizard,scissors,Player
448486,6,scissors,paper,Computer
448486,7,rock,scissors,Computer
370571,1,rock,scissors,Computer
448486,8,spock,rock,Computer
609939,3,scissors,lizard,Computer
370571,2,scissors,paper,Computer
370571,3,rock,lizard,Computer
